[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 13389.64it/s]
/root/modded-nanogpt/logs/record-detached-no-attn-gate-stop328-1450.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 456, 457, 458, 459, 915, 916, 917, 918, 1373, 1374, 1375, 1376] for warmup
Resetting Model
Capping training loop at 1450 optimizer steps
step:111/1450 train_time:26336ms step_avg:237.26ms
step:112/1450 train_time:26574ms step_avg:237.27ms
step:113/1450 train_time:26813ms step_avg:237.28ms
step:114/1450 train_time:27054ms step_avg:237.31ms
step:115/1450 train_time:27289ms step_avg:237.29ms
step:116/1450 train_time:27526ms step_avg:237.29ms
step:117/1450 train_time:27763ms step_avg:237.29ms
step:118/1450 train_time:28001ms step_avg:237.30ms
step:119/1450 train_time:28238ms step_avg:237.30ms
step:120/1450 train_time:28475ms step_avg:237.29ms
step:121/1450 train_time:28713ms step_avg:237.30ms
step:122/1450 train_time:28951ms step_avg:237.30ms
step:123/1450 train_time:29190ms step_avg:237.32ms
step:124/1450 train_time:29427ms step_avg:237.32ms
step:125/1450 train_time:29666ms step_avg:237.33ms
step:126/1450 train_time:29903ms step_avg:237.33ms
step:127/1450 train_time:30141ms step_avg:237.33ms
step:128/1450 train_time:30381ms step_avg:237.35ms
step:129/1450 train_time:30617ms step_avg:237.34ms
step:130/1450 train_time:30855ms step_avg:237.34ms
step:131/1450 train_time:31093ms step_avg:237.35ms
step:132/1450 train_time:31331ms step_avg:237.36ms
step:133/1450 train_time:31570ms step_avg:237.37ms
step:134/1450 train_time:31808ms step_avg:237.38ms
step:135/1450 train_time:32047ms step_avg:237.38ms
step:136/1450 train_time:32284ms step_avg:237.38ms
step:137/1450 train_time:32522ms step_avg:237.39ms
step:138/1450 train_time:32760ms step_avg:237.39ms
step:139/1450 train_time:33000ms step_avg:237.41ms
step:140/1450 train_time:33239ms step_avg:237.42ms
step:141/1450 train_time:33475ms step_avg:237.41ms
step:142/1450 train_time:33714ms step_avg:237.42ms
step:143/1450 train_time:33952ms step_avg:237.42ms
step:144/1450 train_time:34190ms step_avg:237.43ms
step:145/1450 train_time:34429ms step_avg:237.44ms
step:146/1450 train_time:34665ms step_avg:237.43ms
step:147/1450 train_time:34903ms step_avg:237.43ms
step:148/1450 train_time:35141ms step_avg:237.44ms
step:149/1450 train_time:35380ms step_avg:237.45ms
step:150/1450 train_time:35619ms step_avg:237.46ms
step:151/1450 train_time:35857ms step_avg:237.46ms
step:152/1450 train_time:36094ms step_avg:237.46ms
step:153/1450 train_time:36332ms step_avg:237.47ms
step:154/1450 train_time:36570ms step_avg:237.47ms
step:155/1450 train_time:36810ms step_avg:237.48ms
step:156/1450 train_time:37046ms step_avg:237.47ms
step:157/1450 train_time:37284ms step_avg:237.47ms
step:158/1450 train_time:37522ms step_avg:237.48ms
step:159/1450 train_time:37761ms step_avg:237.49ms
step:160/1450 train_time:38000ms step_avg:237.50ms
step:161/1450 train_time:38238ms step_avg:237.50ms
step:162/1450 train_time:38475ms step_avg:237.50ms
step:163/1450 train_time:38713ms step_avg:237.51ms
step:164/1450 train_time:38952ms step_avg:237.51ms
step:165/1450 train_time:39191ms step_avg:237.52ms
step:166/1450 train_time:39430ms step_avg:237.53ms
step:167/1450 train_time:39666ms step_avg:237.52ms
step:168/1450 train_time:39903ms step_avg:237.52ms
step:169/1450 train_time:40142ms step_avg:237.53ms
step:170/1450 train_time:40380ms step_avg:237.53ms
step:171/1450 train_time:40619ms step_avg:237.54ms
step:172/1450 train_time:40857ms step_avg:237.54ms
step:173/1450 train_time:41096ms step_avg:237.55ms
step:174/1450 train_time:41333ms step_avg:237.55ms
step:175/1450 train_time:41572ms step_avg:237.56ms
step:176/1450 train_time:41810ms step_avg:237.56ms
step:177/1450 train_time:42049ms step_avg:237.57ms
step:178/1450 train_time:42286ms step_avg:237.56ms
step:179/1450 train_time:42524ms step_avg:237.56ms
step:180/1450 train_time:42762ms step_avg:237.57ms
step:181/1450 train_time:43001ms step_avg:237.57ms
step:182/1450 train_time:43238ms step_avg:237.57ms
step:183/1450 train_time:43477ms step_avg:237.58ms
step:184/1450 train_time:43714ms step_avg:237.57ms
step:185/1450 train_time:43953ms step_avg:237.58ms
step:186/1450 train_time:44191ms step_avg:237.59ms
step:187/1450 train_time:44430ms step_avg:237.60ms
step:188/1450 train_time:44666ms step_avg:237.58ms
step:189/1450 train_time:44904ms step_avg:237.59ms
step:190/1450 train_time:45142ms step_avg:237.59ms
step:191/1450 train_time:45381ms step_avg:237.60ms
step:192/1450 train_time:45617ms step_avg:237.59ms
step:193/1450 train_time:45856ms step_avg:237.60ms
step:194/1450 train_time:46093ms step_avg:237.60ms
step:195/1450 train_time:46333ms step_avg:237.60ms
step:196/1450 train_time:46570ms step_avg:237.60ms
step:197/1450 train_time:46810ms step_avg:237.61ms
step:198/1450 train_time:47046ms step_avg:237.61ms
step:199/1450 train_time:47285ms step_avg:237.61ms
step:200/1450 train_time:47522ms step_avg:237.61ms
step:200/1450 val_loss:4.6000 train_time:47565ms step_avg:237.82ms
step:201/1450 train_time:47762ms step_avg:237.62ms
step:202/1450 train_time:48000ms step_avg:237.62ms
step:203/1450 train_time:48239ms step_avg:237.63ms
step:204/1450 train_time:48475ms step_avg:237.62ms
step:205/1450 train_time:48713ms step_avg:237.62ms
step:206/1450 train_time:48950ms step_avg:237.62ms
step:207/1450 train_time:49189ms step_avg:237.63ms
step:208/1450 train_time:49427ms step_avg:237.63ms
step:209/1450 train_time:49665ms step_avg:237.63ms
step:210/1450 train_time:49902ms step_avg:237.63ms
step:211/1450 train_time:50141ms step_avg:237.64ms
step:212/1450 train_time:50380ms step_avg:237.64ms
step:213/1450 train_time:50619ms step_avg:237.65ms
step:214/1450 train_time:50856ms step_avg:237.64ms
step:215/1450 train_time:51093ms step_avg:237.64ms
step:216/1450 train_time:51331ms step_avg:237.65ms
step:217/1450 train_time:51570ms step_avg:237.65ms
step:218/1450 train_time:51807ms step_avg:237.65ms
step:219/1450 train_time:52046ms step_avg:237.65ms
step:220/1450 train_time:52283ms step_avg:237.65ms
step:221/1450 train_time:52522ms step_avg:237.66ms
step:222/1450 train_time:52760ms step_avg:237.66ms
step:223/1450 train_time:53000ms step_avg:237.67ms
step:224/1450 train_time:53238ms step_avg:237.67ms
step:225/1450 train_time:53478ms step_avg:237.68ms
step:226/1450 train_time:53714ms step_avg:237.67ms
step:227/1450 train_time:53953ms step_avg:237.68ms
step:228/1450 train_time:54190ms step_avg:237.68ms
step:229/1450 train_time:54430ms step_avg:237.68ms
step:230/1450 train_time:54668ms step_avg:237.69ms
step:231/1450 train_time:54907ms step_avg:237.69ms
step:232/1450 train_time:55144ms step_avg:237.69ms
step:233/1450 train_time:55382ms step_avg:237.69ms
step:234/1450 train_time:55622ms step_avg:237.70ms
step:235/1450 train_time:55859ms step_avg:237.70ms
step:236/1450 train_time:56097ms step_avg:237.70ms
step:237/1450 train_time:56335ms step_avg:237.70ms
step:238/1450 train_time:56572ms step_avg:237.70ms
step:239/1450 train_time:56811ms step_avg:237.70ms
step:240/1450 train_time:57049ms step_avg:237.70ms
step:241/1450 train_time:57288ms step_avg:237.71ms
step:242/1450 train_time:57526ms step_avg:237.71ms
step:243/1450 train_time:57765ms step_avg:237.72ms
step:244/1450 train_time:58002ms step_avg:237.71ms
step:245/1450 train_time:58241ms step_avg:237.72ms
step:246/1450 train_time:58479ms step_avg:237.72ms
step:247/1450 train_time:58717ms step_avg:237.72ms
step:248/1450 train_time:58954ms step_avg:237.72ms
step:249/1450 train_time:59192ms step_avg:237.72ms
step:250/1450 train_time:59429ms step_avg:237.72ms
step:251/1450 train_time:59669ms step_avg:237.73ms
step:252/1450 train_time:59907ms step_avg:237.73ms
step:253/1450 train_time:60146ms step_avg:237.73ms
step:254/1450 train_time:60383ms step_avg:237.73ms
step:255/1450 train_time:60622ms step_avg:237.73ms
step:256/1450 train_time:60860ms step_avg:237.73ms
step:257/1450 train_time:61099ms step_avg:237.74ms
step:258/1450 train_time:61337ms step_avg:237.74ms
step:259/1450 train_time:61575ms step_avg:237.74ms
step:260/1450 train_time:61812ms step_avg:237.74ms
step:261/1450 train_time:62051ms step_avg:237.74ms
step:262/1450 train_time:62288ms step_avg:237.74ms
step:263/1450 train_time:62528ms step_avg:237.75ms
step:264/1450 train_time:62765ms step_avg:237.75ms
step:265/1450 train_time:63004ms step_avg:237.75ms
step:266/1450 train_time:63242ms step_avg:237.75ms
step:267/1450 train_time:63481ms step_avg:237.76ms
step:268/1450 train_time:63719ms step_avg:237.76ms
step:269/1450 train_time:63958ms step_avg:237.76ms
step:270/1450 train_time:64195ms step_avg:237.76ms
step:271/1450 train_time:64432ms step_avg:237.76ms
step:272/1450 train_time:64671ms step_avg:237.76ms
step:273/1450 train_time:64910ms step_avg:237.77ms
step:274/1450 train_time:65149ms step_avg:237.77ms
step:275/1450 train_time:65388ms step_avg:237.77ms
step:276/1450 train_time:65626ms step_avg:237.77ms
step:277/1450 train_time:65864ms step_avg:237.78ms
step:278/1450 train_time:66101ms step_avg:237.77ms
step:279/1450 train_time:66340ms step_avg:237.78ms
step:280/1450 train_time:66579ms step_avg:237.78ms
step:281/1450 train_time:66818ms step_avg:237.79ms
step:282/1450 train_time:67055ms step_avg:237.78ms
step:283/1450 train_time:67293ms step_avg:237.79ms
step:284/1450 train_time:67531ms step_avg:237.79ms
step:285/1450 train_time:67771ms step_avg:237.79ms
step:286/1450 train_time:68008ms step_avg:237.79ms
step:287/1450 train_time:68246ms step_avg:237.79ms
step:288/1450 train_time:68483ms step_avg:237.79ms
step:289/1450 train_time:68722ms step_avg:237.79ms
step:290/1450 train_time:68961ms step_avg:237.80ms
step:291/1450 train_time:69200ms step_avg:237.80ms
step:292/1450 train_time:69438ms step_avg:237.80ms
step:293/1450 train_time:69676ms step_avg:237.80ms
step:294/1450 train_time:69913ms step_avg:237.80ms
step:295/1450 train_time:70151ms step_avg:237.80ms
step:296/1450 train_time:70391ms step_avg:237.81ms
step:297/1450 train_time:70629ms step_avg:237.81ms
step:298/1450 train_time:70867ms step_avg:237.81ms
step:299/1450 train_time:71106ms step_avg:237.81ms
step:300/1450 train_time:71343ms step_avg:237.81ms
step:300/1450 val_loss:4.4343 train_time:71385ms step_avg:237.95ms
step:301/1450 train_time:71582ms step_avg:237.82ms
step:302/1450 train_time:71822ms step_avg:237.82ms
step:303/1450 train_time:72060ms step_avg:237.82ms
step:304/1450 train_time:72299ms step_avg:237.83ms
step:305/1450 train_time:72537ms step_avg:237.83ms
step:306/1450 train_time:72775ms step_avg:237.83ms
step:307/1450 train_time:73012ms step_avg:237.83ms
step:308/1450 train_time:73251ms step_avg:237.83ms
step:309/1450 train_time:73490ms step_avg:237.83ms
step:310/1450 train_time:73727ms step_avg:237.83ms
step:311/1450 train_time:73965ms step_avg:237.83ms
step:312/1450 train_time:74203ms step_avg:237.83ms
step:313/1450 train_time:74442ms step_avg:237.83ms
step:314/1450 train_time:74681ms step_avg:237.84ms
step:315/1450 train_time:74920ms step_avg:237.84ms
step:316/1450 train_time:75157ms step_avg:237.84ms
step:317/1450 train_time:75395ms step_avg:237.84ms
step:318/1450 train_time:75633ms step_avg:237.84ms
step:319/1450 train_time:75872ms step_avg:237.84ms
step:320/1450 train_time:76111ms step_avg:237.85ms
step:321/1450 train_time:76350ms step_avg:237.85ms
step:322/1450 train_time:76588ms step_avg:237.85ms
step:323/1450 train_time:76828ms step_avg:237.86ms
step:324/1450 train_time:77065ms step_avg:237.86ms
step:325/1450 train_time:77303ms step_avg:237.86ms
step:326/1450 train_time:77541ms step_avg:237.86ms
step:327/1450 train_time:77781ms step_avg:237.86ms
step:328/1450 train_time:78019ms step_avg:237.86ms
step:329/1450 train_time:78258ms step_avg:237.87ms
step:330/1450 train_time:78494ms step_avg:237.86ms
step:331/1450 train_time:78733ms step_avg:237.86ms
step:332/1450 train_time:78972ms step_avg:237.87ms
step:333/1450 train_time:79211ms step_avg:237.87ms
step:334/1450 train_time:79449ms step_avg:237.87ms
step:335/1450 train_time:79688ms step_avg:237.87ms
step:336/1450 train_time:79925ms step_avg:237.87ms
step:337/1450 train_time:80165ms step_avg:237.88ms
step:338/1450 train_time:80403ms step_avg:237.88ms
step:339/1450 train_time:80642ms step_avg:237.88ms
step:340/1450 train_time:80881ms step_avg:237.88ms
step:341/1450 train_time:81120ms step_avg:237.89ms
step:342/1450 train_time:81356ms step_avg:237.88ms
step:343/1450 train_time:81594ms step_avg:237.88ms
step:344/1450 train_time:81832ms step_avg:237.88ms
step:345/1450 train_time:82072ms step_avg:237.89ms
step:346/1450 train_time:82311ms step_avg:237.89ms
step:347/1450 train_time:82549ms step_avg:237.89ms
step:348/1450 train_time:82788ms step_avg:237.90ms
step:349/1450 train_time:83026ms step_avg:237.90ms
step:350/1450 train_time:83263ms step_avg:237.90ms
step:351/1450 train_time:83503ms step_avg:237.90ms
step:352/1450 train_time:83741ms step_avg:237.90ms
step:353/1450 train_time:83981ms step_avg:237.91ms
step:354/1450 train_time:84218ms step_avg:237.91ms
step:355/1450 train_time:84458ms step_avg:237.91ms
step:356/1450 train_time:84694ms step_avg:237.91ms
step:357/1450 train_time:84933ms step_avg:237.91ms
step:358/1450 train_time:85172ms step_avg:237.91ms
step:359/1450 train_time:85411ms step_avg:237.91ms
step:360/1450 train_time:85649ms step_avg:237.91ms
step:361/1450 train_time:85888ms step_avg:237.92ms
step:362/1450 train_time:86125ms step_avg:237.91ms
step:363/1450 train_time:86363ms step_avg:237.91ms
step:364/1450 train_time:86601ms step_avg:237.91ms
step:365/1450 train_time:86840ms step_avg:237.92ms
step:366/1450 train_time:87078ms step_avg:237.92ms
step:367/1450 train_time:87317ms step_avg:237.92ms
step:368/1450 train_time:87554ms step_avg:237.92ms
step:369/1450 train_time:87792ms step_avg:237.92ms
step:370/1450 train_time:88031ms step_avg:237.92ms
step:371/1450 train_time:88269ms step_avg:237.92ms
step:372/1450 train_time:88506ms step_avg:237.92ms
step:373/1450 train_time:88745ms step_avg:237.92ms
step:374/1450 train_time:88983ms step_avg:237.92ms
step:375/1450 train_time:89222ms step_avg:237.93ms
step:376/1450 train_time:89461ms step_avg:237.93ms
step:377/1450 train_time:89700ms step_avg:237.93ms
step:378/1450 train_time:89938ms step_avg:237.93ms
step:379/1450 train_time:90177ms step_avg:237.93ms
step:380/1450 train_time:90414ms step_avg:237.93ms
step:381/1450 train_time:90652ms step_avg:237.93ms
step:382/1450 train_time:90890ms step_avg:237.93ms
step:383/1450 train_time:91128ms step_avg:237.93ms
step:384/1450 train_time:91365ms step_avg:237.93ms
step:385/1450 train_time:91604ms step_avg:237.93ms
step:386/1450 train_time:91842ms step_avg:237.93ms
step:387/1450 train_time:92081ms step_avg:237.94ms
step:388/1450 train_time:92320ms step_avg:237.94ms
step:389/1450 train_time:92559ms step_avg:237.94ms
step:390/1450 train_time:92798ms step_avg:237.94ms
step:391/1450 train_time:93036ms step_avg:237.94ms
step:392/1450 train_time:93272ms step_avg:237.94ms
step:393/1450 train_time:93512ms step_avg:237.94ms
step:394/1450 train_time:93751ms step_avg:237.95ms
step:395/1450 train_time:93990ms step_avg:237.95ms
step:396/1450 train_time:94227ms step_avg:237.95ms
step:397/1450 train_time:94466ms step_avg:237.95ms
step:398/1450 train_time:94704ms step_avg:237.95ms
step:399/1450 train_time:94943ms step_avg:237.95ms
step:400/1450 train_time:95181ms step_avg:237.95ms
step:400/1450 val_loss:4.3052 train_time:95223ms step_avg:238.06ms
step:401/1450 train_time:95422ms step_avg:237.96ms
step:402/1450 train_time:95659ms step_avg:237.96ms
step:403/1450 train_time:95897ms step_avg:237.96ms
step:404/1450 train_time:96136ms step_avg:237.96ms
step:405/1450 train_time:96376ms step_avg:237.97ms
step:406/1450 train_time:96614ms step_avg:237.97ms
step:407/1450 train_time:96852ms step_avg:237.97ms
step:408/1450 train_time:97089ms step_avg:237.96ms
step:409/1450 train_time:97329ms step_avg:237.97ms
step:410/1450 train_time:97567ms step_avg:237.97ms
step:411/1450 train_time:97806ms step_avg:237.97ms
step:412/1450 train_time:98045ms step_avg:237.97ms
step:413/1450 train_time:98285ms step_avg:237.98ms
step:414/1450 train_time:98523ms step_avg:237.98ms
step:415/1450 train_time:98762ms step_avg:237.98ms
step:416/1450 train_time:98999ms step_avg:237.98ms
step:417/1450 train_time:99239ms step_avg:237.98ms
step:418/1450 train_time:99478ms step_avg:237.99ms
step:419/1450 train_time:99716ms step_avg:237.99ms
step:420/1450 train_time:99954ms step_avg:237.99ms
step:421/1450 train_time:100192ms step_avg:237.99ms
step:422/1450 train_time:100430ms step_avg:237.99ms
step:423/1450 train_time:100670ms step_avg:237.99ms
step:424/1450 train_time:100908ms step_avg:237.99ms
step:425/1450 train_time:101147ms step_avg:237.99ms
step:426/1450 train_time:101387ms step_avg:238.00ms
step:427/1450 train_time:101625ms step_avg:238.00ms
step:428/1450 train_time:101862ms step_avg:238.00ms
step:429/1450 train_time:102101ms step_avg:238.00ms
step:430/1450 train_time:102339ms step_avg:238.00ms
step:431/1450 train_time:102577ms step_avg:238.00ms
step:432/1450 train_time:102815ms step_avg:238.00ms
step:433/1450 train_time:103053ms step_avg:238.00ms
step:434/1450 train_time:103291ms step_avg:238.00ms
step:435/1450 train_time:103529ms step_avg:238.00ms
step:436/1450 train_time:103768ms step_avg:238.00ms
