[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 3747.42it/s]
/root/modded-nanogpt/results/codex_xsa_no_gate_target328_20260526T015307Z/logs/codex-xsa-no-gate-target328.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 456, 457, 458, 459, 915, 916, 917, 918, 1373, 1374, 1375, 1376] for warmup
Resetting Model
Capping training loop at 2500 optimizer steps
step:110/2500 train_time:26129ms step_avg:237.54ms
step:111/2500 train_time:26368ms step_avg:237.55ms
step:112/2500 train_time:26606ms step_avg:237.56ms
step:113/2500 train_time:26845ms step_avg:237.57ms
step:114/2500 train_time:27083ms step_avg:237.57ms
step:115/2500 train_time:27322ms step_avg:237.58ms
step:116/2500 train_time:27563ms step_avg:237.61ms
step:117/2500 train_time:27800ms step_avg:237.61ms
step:118/2500 train_time:28038ms step_avg:237.61ms
step:119/2500 train_time:28276ms step_avg:237.62ms
step:120/2500 train_time:28514ms step_avg:237.62ms
step:121/2500 train_time:28753ms step_avg:237.62ms
step:122/2500 train_time:28991ms step_avg:237.63ms
step:123/2500 train_time:29230ms step_avg:237.64ms
step:124/2500 train_time:29469ms step_avg:237.65ms
step:125/2500 train_time:29708ms step_avg:237.67ms
step:126/2500 train_time:29945ms step_avg:237.66ms
step:127/2500 train_time:30184ms step_avg:237.67ms
step:128/2500 train_time:30422ms step_avg:237.67ms
step:129/2500 train_time:30662ms step_avg:237.69ms
step:130/2500 train_time:30900ms step_avg:237.69ms
step:131/2500 train_time:31140ms step_avg:237.71ms
step:132/2500 train_time:31376ms step_avg:237.70ms
step:133/2500 train_time:31616ms step_avg:237.71ms
step:134/2500 train_time:31853ms step_avg:237.71ms
step:135/2500 train_time:32092ms step_avg:237.72ms
step:136/2500 train_time:32330ms step_avg:237.72ms
step:137/2500 train_time:32570ms step_avg:237.74ms
step:138/2500 train_time:32809ms step_avg:237.75ms
step:139/2500 train_time:33048ms step_avg:237.75ms
step:140/2500 train_time:33285ms step_avg:237.75ms
step:141/2500 train_time:33524ms step_avg:237.76ms
step:142/2500 train_time:33763ms step_avg:237.77ms
step:143/2500 train_time:34002ms step_avg:237.78ms
step:144/2500 train_time:34241ms step_avg:237.78ms
step:145/2500 train_time:34480ms step_avg:237.79ms
step:146/2500 train_time:34719ms step_avg:237.80ms
step:147/2500 train_time:34959ms step_avg:237.81ms
step:148/2500 train_time:35197ms step_avg:237.82ms
step:149/2500 train_time:35434ms step_avg:237.82ms
step:150/2500 train_time:35673ms step_avg:237.82ms
step:151/2500 train_time:35913ms step_avg:237.83ms
step:152/2500 train_time:36151ms step_avg:237.84ms
step:153/2500 train_time:36391ms step_avg:237.85ms
step:154/2500 train_time:36629ms step_avg:237.85ms
step:155/2500 train_time:36869ms step_avg:237.86ms
step:156/2500 train_time:37108ms step_avg:237.87ms
step:157/2500 train_time:37346ms step_avg:237.87ms
step:158/2500 train_time:37584ms step_avg:237.87ms
step:159/2500 train_time:37823ms step_avg:237.88ms
step:160/2500 train_time:38062ms step_avg:237.89ms
step:161/2500 train_time:38302ms step_avg:237.90ms
step:162/2500 train_time:38539ms step_avg:237.90ms
step:163/2500 train_time:38779ms step_avg:237.91ms
step:164/2500 train_time:39016ms step_avg:237.90ms
step:165/2500 train_time:39256ms step_avg:237.91ms
step:166/2500 train_time:39493ms step_avg:237.91ms
step:167/2500 train_time:39734ms step_avg:237.93ms
step:168/2500 train_time:39973ms step_avg:237.93ms
step:169/2500 train_time:40212ms step_avg:237.94ms
step:170/2500 train_time:40451ms step_avg:237.95ms
step:171/2500 train_time:40691ms step_avg:237.96ms
step:172/2500 train_time:40929ms step_avg:237.96ms
step:173/2500 train_time:41169ms step_avg:237.97ms
step:174/2500 train_time:41407ms step_avg:237.97ms
step:175/2500 train_time:41646ms step_avg:237.98ms
step:176/2500 train_time:41884ms step_avg:237.98ms
